curvature_radius_m,lateral_length_m,q_std_th_m3_day
8.0,100.0,30.628832479885194
8.0,200.0,48.68962891008391
8.0,300.0,63.56228196340795
8.0,400.0,76.59221688534355
8.0,500.0,88.36722701455253
8.0,600.0,99.20993994345707
8.0,700.0,109.32054377801774
8.0,800.0,118.83359506863061
8.0,900.0,127.84465531566742
8.0,1000.0,136.42458448312888
8.0,1100.0,144.6274879139446
8.0,1200.0,152.49589037387008
8.0,1300.0,160.06384894850942
8.0,1400.0,167.35923541304885
8.0,1500.0,174.4048690475139
40.0,100.0,34.20519597215698
40.0,200.0,54.37873177510066
40.0,300.0,70.99136678612672
40.0,400.0,85.54487303734969
40.0,500.0,98.69476628727041
40.0,600.0,110.80067460414183
40.0,700.0,122.0856247472698
40.0,800.0,132.69930706702843
40.0,900.0,142.74801127973694
40.0,1000.0,152.3104392192129
40.0,1100.0,161.44657353555428
40.0,1200.0,170.20354179510977
40.0,1300.0,178.61915057596946
40.0,1400.0,186.7239060907402
40.0,1500.0,194.54326641134568
120.0,100.0,35.462000166472365
120.0,200.0,56.377961311256975
120.0,300.0,73.6019054661981
120.0,400.0,88.69052677253427
120.0,500.0,102.32308473591267
120.0,600.0,114.8721742452511
120.0,700.0,126.56880221968528
120.0,800.0,137.56795697571525
120.0,900.0,147.97970033378047
120.0,1000.0,157.88532801155992
120.0,1100.0,167.34699822559034
120.0,1200.0,176.41338774386938
120.0,1300.0,185.1235807075099
120.0,1400.0,193.5090576558237
120.0,1500.0,201.59611829969282
