scenario_id,ae,profile,profile_ru,curvature_radius_m,curvature_class,lateral_length_m,tubing_shoe_from_heel_m,shoe_fraction,q_std_m3_day,q_std_th_m3_day,p_heel_mpa,p_avg_lateral_mpa,p_toe_mpa,delta_p_wellbore_kpa,a_coeff,b_coeff,iterations,q_vertical_ref_m3_day,gain_vs_vertical_pct
1,0.1,flat,плоско-горизонтальный,8.0,малый,100.0,0.0,0.0,20453.15062958768,20.45315062958768,7.5,7.500081052121267,7.500162104242534,0.16210424253459715,1341202271336.4175,601029406234114.6,1,34749.58533414408,-41.141310225964276
2,0.1,flat,плоско-горизонтальный,8.0,малый,100.0,100.0,1.0,20453.368980042713,20.45336898004271,7.5,7.500032269717816,7.500064539435632,0.064539435632303,1341200398179.7446,601029579085323.4,1,34749.58533414408,-41.140681871833046
3,0.1,flat,плоско-горизонтальный,8.0,малый,200.0,0.0,0.0,32501.76749238492,32.50176749238492,7.5,7.500384008800098,7.500768017600196,0.7680176001951139,1082269820812.1559,237348340869784.5,1,34749.58533414408,-6.4686177407432615
4,0.1,flat,плоско-горизонтальный,8.0,малый,200.0,100.0,0.5,32502.58770797708,32.50258770797708,7.5,7.500268913959745,7.500537827919491,0.5378279194905227,1082266253790.6735,237348501951639.88,1,34749.58533414408,-6.466257379938164
5,0.1,flat,плоско-горизонтальный,8.0,малый,200.0,200.0,1.0,32503.407889104572,32.50340788910457,7.5,7.500153808271153,7.500307616542306,0.30761654230710417,1082262686786.6926,237348663034473.03,1,34749.58533414408,-6.463897118313154
6,0.1,flat,плоско-горизонтальный,8.0,малый,300.0,0.0,0.0,42417.647121331516,42.41764712133152,7.5,7.500950770589592,7.501901541179184,1.9015411791838133,962240060476.8657,139035681889429.05,3,34749.58533414408,22.066628172546817
7,0.1,flat,плоско-горизонтальный,8.0,малый,300.0,100.0,0.3333333333333333,42419.656500342935,42.41965650034294,7.5,7.500761200783705,7.501522401567412,1.5224015674117903,962234116247.5996,139035858742361.86,3,34749.58533414408,22.072410627192237
8,0.1,flat,плоско-горизонтальный,8.0,малый,300.0,200.0,0.6666666666666666,42421.6655716423,42.4216655716423,7.5,7.500571597145868,7.5011431942917355,1.1431942917348814,962228172515.1816,139036035584150.38,2,34749.58533414408,22.07819219632477
9,0.1,flat,плоско-горизонтальный,8.0,малый,300.0,300.0,1.0,42424.1715929431,42.424171592943104,7.5,7.5003819681843025,7.500763936368605,0.7639363686050746,962220758002.6726,139036256190643.17,1,34749.58533414408,22.085403854468908
10,0.1,flat,плоско-горизонтальный,8.0,малый,400.0,0.0,0.0,51100.418801824766,51.100418801824766,7.5,7.5018039187328664,7.503607837465734,3.60783746573463,889250948145.0654,95606349350584.6,4,34749.58533414408,47.05331965965867
11,0.1,flat,плоско-горизонтальный,8.0,малый,400.0,100.0,0.25,51103.86475600074,51.10386475600074,7.5,7.501534577812974,7.503069155625946,3.0691556259460566,889243139566.8519,95606522206573.7,4,34749.58533414408,47.06323619288587
12,0.1,flat,плоско-горизонтальный,8.0,малый,400.0,200.0,0.5,51107.31000665117,51.10731000665117,7.5,7.501265168045837,7.502530336091673,2.530336091672776,889235331810.7507,95606695049418.31,3,34749.58533414408,47.073150701554965
13,0.1,flat,плоско-горизонтальный,8.0,малый,400.0,300.0,0.75,51110.75781447315,51.11075781447315,7.5,7.500995689567055,7.501991379134109,1.9913791341090505,889227517486.5397,95606868042723.9,3,34749.58533414408,47.083072569078944
14,0.1,flat,плоско-горизонтальный,8.0,малый,400.0,400.0,1.0,51114.20616583706,51.11420616583706,7.5,7.500726142239017,7.501452284478035,1.4522844780359985,889219701156.9072,95607041085490.34,3,34749.58533414408,47.092996000770995
